Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_642.jpg;-2.97717;1;0;5.011625;121.8031;101.7943;0.4480992;25.36777;359.2852
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_709.jpg;-5.98897;1;0;5.011603;122.0789;101.9228;0.6556388;24.87817;359.3787
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_775.jpg;-8.969873;1;0;5.018026;122.3557;102.0472;0.8225774;24.01073;359.4486
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_842.jpg;-11.95199;1;0;5.017464;122.7258;102.2029;0.881336;22.23232;359.4843
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_909.jpg;-14.95682;1;0;5.015797;123.0061;102.3106;0.8311591;20.26894;359.4431
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_975.jpg;-15;1;0;4.992351;123.2855;102.4069;0.6394878;17.95177;359.3021
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_042.jpg;-15;1;0;5.007062;123.6618;102.5197;0.2375088;15.05244;358.9784
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_111.jpg;-15;1;0;5.008025;123.9462;102.5933;359.8985;12.95641;358.7124
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_179.jpg;-13.46489;1;0;5.001563;124.3337;102.6842;359.8341;10.62966;358.6241
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_244.jpg;-10.50655;1;0;5.001489;124.6299;102.7457;0.008255511;9.151192;358.7419
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_309.jpg;-7.59016;1;0;5.043795;124.9279;102.7975;0.1100792;7.57412;358.9008
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_375.jpg;-4.557399;1;0;5.014627;125.2255;102.8392;0.1129174;6.240181;358.9853
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_442.jpg;-1.588727;1;0;5.011292;125.6232;102.8837;0.09270518;5.257637;358.9621
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_511.jpg;0;1;0;5.011716;125.9218;102.9138;0.06287367;4.956177;358.9655
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_578.jpg;0;1;0;5.011624;126.3208;102.9511;0.05224071;4.8274;358.9987
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_646.jpg;0;1;0;5.012063;126.621;102.9777;0.09267437;4.800453;359.0396
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_712.jpg;0;1;0;5.017736;126.9223;103.0038;0.1921549;4.795532;359.09
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_779.jpg;0;1;0;5.005551;127.3249;103.0387;0.3704524;4.798149;359.2101
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_845.jpg;0;1;0;5.017418;127.6273;103.0648;0.5305107;4.800377;359.3294
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_912.jpg;0;1;0;5.016554;127.9296;103.091;0.6924953;4.814392;359.4753
G:\RoboND\IMG\robocam_2018_07_23_18_58_59_978.jpg;0;1;0;5.008733;128.3335;103.1259;0.9456886;4.842789;359.6739
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_044.jpg;0;1;0;5.014151;128.6369;103.1523;1.157541;4.868645;359.8261
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_111.jpg;0;1;0;5.025732;128.9398;103.1792;1.361565;4.929672;359.9883
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_179.jpg;0;1;0;5.014721;129.343;103.2116;1.555724;4.89006;-0.003823701
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_243.jpg;0;1;0;5.008829;129.6404;103.2356;1.444208;4.862587;-0.0009379549
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_311.jpg;0;1;0;5.008832;129.939;103.2595;1.391558;4.828659;-0.001397346
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_378.jpg;0;1;0;5.01253;130.3383;103.2914;1.352695;4.785248;-0.001440077
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_444.jpg;0;1;0;5.009837;130.638;103.3153;1.346056;4.735786;-0.00084659
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_511.jpg;0;1;0;5.00279;130.9385;103.339;1.362503;4.776985;-0.003600687
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_578.jpg;0;1;0;5.013676;131.3384;103.3701;1.387152;4.552765;-0.001473938
G:\RoboND\IMG\robocam_2018_07_23_18_59_00_645.jpg;0;1;0;5.016988;131.6393;103.3931;1.429795;4.557678;-0.002703195
